Symbol,Volatility,Risk_Rating
A,0.027709375574117824,4
AAPL,0.029536264120453255,4
ABBV,0.02953160649856022,4
ABNB,0.05272684675835832,5
ABT,0.023460353416223812,4
ACGL,0.02685366049097073,4
ACN,0.024703123702530423,4
ADBE,0.033426011903572216,4
ADI,0.02939805021517563,4
ADM,0.02939244812494769,4
ADP,0.02386331588501079,4
ADSK,0.03837922708496136,4
AEE,0.021099210927339514,4
AEP,0.02153840412256773,4
AES,0.036299368776141795,4
AFL,0.026544248941801057,4
AIG,0.03431180107064622,4
AIZ,0.02777549459147904,4
AJG,0.022043020289231167,4
AKAM,0.03298785597881387,4
ALB,0.04727212288513324,4
ALGN,0.04945646663399717,4
ALL,0.02403915681231943,4
ALLE,0.02822921107923028,4
AMAT,0.04140149673961024,4
AMCR,0.025574725072956838,4
AMD,0.06254278082542944,5
AME,0.02518240781149718,4
AMGN,0.02651411731033454,4
AMP,0.034241927834052416,4
AMT,0.02675481404932673,4
AMTM,0.025332602866804988,4
AMZN,0.0367325983410745,4
ANET,0.04828941595414812,4
ANSS,0.030846549318473224,4
AON,0.025195788936701685,4
AOS,0.03006068291688477,4
APA,0.06975292439385987,5
APD,0.026742019895287145,4
APH,0.025419247995710024,4
APTV,0.04258348341887346,4
ARE,0.026580113969638067,4
ATO,0.020390556140713032,4
AVB,0.02455488148680965,4
AVGO,0.04160504266240181,4
AVY,0.02622738819580764,4
AWK,0.023262208294250776,4
AXON,0.056437011107485995,5
AXP,0.03229602683562229,4
AZO,0.027100709671200995,4
BA,0.04626994746271026,4
BAC,0.03376455877733027,4
BALL,0.028449465852362178,4
BAX,0.025271396745348826,4
BBY,0.04059422663704939,4
BDX,0.022258942771438806,4
BEN,0.033841347501922296,4
BF-B,0.023542471497554233,4
BG,0.032138758336615586,4
BIIB,0.043363672694614316,4
BK,0.02898591881049471,4
BKNG,0.03680317506299966,4
BKR,0.04399490903713829,4
BLDR,0.06566047790867255,5
BLK,0.02886542112573301,4
BMY,0.027726887542975046,4
BR,0.023265539806164505,4
BRK-B,0.019891437624594378,4
BRO,0.022240917954530277,4
BSX,0.026756446904819403,4
BWA,0.03872859788712363,4
BX,0.03855517403557367,4
BXP,0.032448597933013044,4
C,0.03553946945725874,4
CAG,0.027062919006971064,4
CAH,0.030251655039232654,4
CARR,0.03895312786731254,4
CAT,0.03356504042831797,4
CB,0.023667863671867812,4
CBOE,0.025555659268318612,4
CBRE,0.035021038706471885,4
CCI,0.026068581074948572,4
CCL,0.05992804974673848,5
CDNS,0.03197311157382459,4
CDW,0.03050786596129773,4
CE,0.03426375547603979,4
CEG,0.05248157368454614,5
CF,0.04446398590884437,4
CFG,0.04085248251986103,4
CHD,0.02094716243190727,4
CHRW,0.02590524219958104,4
CHTR,0.03357908329908017,4
CI,0.0317154081120525,4
CINF,0.02831701639687562,4
CL,0.018384526658967382,4
CLX,0.023770813773710913,4
CMCSA,0.024749311690185665,4
CME,0.023935900686253408,4
CMG,0.03917660881772472,4
CMI,0.027929745152999726,4
CMS,0.020809150120421813,4
CNC,0.03534781768811542,4
CNP,0.028608666043758307,4
COF,0.03865382986755835,4
COO,0.027737867633256905,4
COP,0.0423719131420582,4
COR,0.026442850610302816,4
COST,0.022423754792735694,4
CPAY,0.0329224030127155,4
CPB,0.025137124496981897,4
CPRT,0.028795463362992685,4
CPT,0.02485003790313038,4
CRL,0.03668076240669959,4
CRM,0.03589401503506678,4
CRWD,0.0713385053418278,5
CSCO,0.024773186283264692,4
CSGP,0.034071088234205876,4
CSX,0.029100011727284377,4
CTAS,0.026991147769649157,4
CTLT,0.04948342275575224,4
CTRA,0.040307075754211656,4
CTSH,0.028689362382453433,4
CTVA,0.03610747075920389,4
CVS,0.028525477316950026,4
CVX,0.031332589846371564,4
CZR,0.07351536514372098,5
D,0.02278409274548901,4
DAL,0.04433901010379665,4
DAY,0.048524932658279736,4
DD,0.03373466042852809,4
DE,0.03121210572819837,4
DECK,0.04528415251490204,4
DELL,0.04752554158937045,4
DFS,0.041228502429847394,4
DG,0.031318063300621486,4
DGX,0.025698621625684273,4
