crypto_name,datetime,close,volume,close_pct_change,risk_rating
1000SATSUSDT,2024-01-08,0.0006123,756644111941.0,-16.62581699346405,5
1000SATSUSDT,2024-02-05,0.0004301,467510496912.0,-29.75665523436224,5
1000SATSUSDT,2024-03-04,0.0006275,1554847270283.0,45.896303185305754,5
1INCHUSDT,2021-01-18,2.4743,128688513.08,133.16057293629854,5
1INCHUSDT,2021-02-15,5.0575,130621595.32,104.4012447965081,5
1INCHUSDT,2021-03-15,4.6725,97097387.71,-7.612456747404838,5
1INCHUSDT,2021-04-12,5.2943,83552757.57,13.307651150347777,5
1INCHUSDT,2021-05-10,5.1263,88224247.82,-3.173224033394406,5
1INCHUSDT,2021-06-07,3.0067,66314154.24,-41.347560618769876,5
1INCHUSDT,2021-07-05,2.5177,41017351.61,-16.26367778627731,5
1INCHUSDT,2021-08-02,2.4907,61192212.7,-1.0724073559200908,5
1INCHUSDT,2021-08-30,3.834,81296545.64,53.93262938129843,5
1INCHUSDT,2021-09-27,3.079,84350262.2,-19.69222743870631,5
1INCHUSDT,2021-10-25,4.576,247927227.29,48.61968171484246,5
1INCHUSDT,2021-11-22,3.646,79829533.5,-20.323426573426573,5
1INCHUSDT,2021-12-20,2.755,82779536.3,-24.437739989029073,5
1INCHUSDT,2022-01-17,1.691,70985209.98,-38.62068965517241,5
1INCHUSDT,2022-02-14,1.486,35973325.6,-12.123004139562388,5
1INCHUSDT,2022-03-14,1.557,64182520.1,4.777927321668907,5
1INCHUSDT,2022-04-11,1.461,23084272.4,-6.165703275529855,5
1INCHUSDT,2022-05-09,0.979,157698914.25,-32.99110198494183,5
1INCHUSDT,2022-06-06,0.651,43042581.7,-33.50357507660878,5
1INCHUSDT,2022-07-04,0.64,51321355.0,-1.6897081413210446,5
1INCHUSDT,2022-08-01,0.806,46374301.4,25.937500000000014,5
1INCHUSDT,2022-08-29,0.673,35264829.0,-16.501240694789075,5
1INCHUSDT,2022-09-26,0.553,31970574.8,-17.83060921248143,5
1INCHUSDT,2022-10-24,0.614,36105789.1,11.030741410488233,5
1INCHUSDT,2022-11-21,0.52,26533517.2,-15.309446254071657,5
1INCHUSDT,2022-12-19,0.398,17563973.1,-23.461538461538456,5
1INCHUSDT,2023-01-16,0.513,72499910.3,28.894472361809044,5
1INCHUSDT,2023-02-13,0.575,69518751.1,12.08576998050681,5
1INCHUSDT,2023-03-13,0.551,73905552.6,-4.17391304347825,5
1INCHUSDT,2023-04-10,0.575,32182758.1,4.355716878402882,5
1INCHUSDT,2023-05-08,0.413,27678327.4,-28.17391304347826,5
1INCHUSDT,2023-06-05,0.27,68950827.1,-34.62469733656174,5
1INCHUSDT,2023-07-03,0.3036,48417396.5,12.444444444444436,5
1INCHUSDT,2023-07-31,0.3054,84867725.8,0.5928853754940899,5
1INCHUSDT,2023-08-28,0.2346,45809359.4,-23.182711198428297,5
1INCHUSDT,2023-09-25,0.2766,33507985.3,17.902813299232733,5
1INCHUSDT,2023-10-23,0.2956,60340471.1,6.869125090383221,5
1INCHUSDT,2023-11-20,0.3553,69640057.9,20.19621109607579,5
1INCHUSDT,2023-12-18,0.4191,101274709.4,17.956656346749213,5
1INCHUSDT,2024-01-15,0.4176,74394582.4,-0.35790980672869566,5
1INCHUSDT,2024-02-12,0.4523,70976616.2,8.309386973180066,5
AAVEUSDT,2020-11-09,64.256,3854990.235,57.6834355828221,5
AAVEUSDT,2020-12-07,83.929,2244647.703,30.616596115537842,5
AAVEUSDT,2021-01-04,127.007,2892045.197,51.3267166295321,5
AAVEUSDT,2021-02-01,472.907,2996812.698,272.34719346177764,5
AAVEUSDT,2021-03-01,414.89,1493727.896,-12.268162662003313,5
AAVEUSDT,2021-03-29,403.4,1053980.634,-2.7694087589481553,5
AAVEUSDT,2021-04-26,482.41,2112956.4625,19.586018839861197,5
AAVEUSDT,2021-05-24,324.38,2563760.3324,-32.75844198917933,5
AAVEUSDT,2021-06-21,202.87,2024172.1751,-37.4591528454282,5
AAVEUSDT,2021-07-19,288.07,1350095.0892,41.997338196874836,5
AAVEUSDT,2021-08-16,400.98,1261388.9573,39.195334467316975,5
AAVEUSDT,2021-09-13,340.0,1297983.49,-15.20774103446556,5
AAVEUSDT,2021-10-11,304.4,687460.423,-10.47058823529412,5
